PlayerId,Rank,From,FirstName,LastName,Team,Age,Position
1,1,Canada,Connor,McDavid,EDM,24,F
2,2,Germany,Leon,Draisaitl,EDM,26,F
3,3,Canada,Jonathan,Huberdeau,FLA,28,F
4,4,USA,Johnny,Gaudreau,CGY,28,F
5,5,USA,Auston,Matthews,TOR,24,F
6,6,Russia,Kirill,Kaprizov,MIN,24,F
7,7,USA,Matthew,Tkachuk,CGY,24,F
8,8,Canada,Nazem,Kadri,COL,31,F
9,9,USA,Kyle,Connor,WPG,25,F
10,10,Finland,Mikko,Rantanen,COL,25,F
11,11,Canada,Mitchell,Marner,TOR,24,F
12,12,USA,J.T. ,Miller,VAN,28,F
13,13,Switzerland,Roman,Josi,NSH,31,D
14,14,Russia,Artemi,Panarin,NYR,30,F
15,15,USA,Patrick,Kane,CHI,33,F
16,16,Russia,Alexander,Ovechkin,WSH,36,F
17,17,Canada,Steven,Stamkos,TBL,31,F
18,18,Canada,Cale,Makar,COL,23,D
19,19,Canada,Sidney,Crosby,PIT,34,F
20,20,Canada,Nathan,MacKinnon,COL,26,F
21,21,Czeck Republic,David,Pastrnak,BOS,25,F
22,22,Canada,Brad,Marchand,BOS,33,F
23,23,Canada,Matt,Duchene,NSH,30,F
24,24,Finland,Aleksander,Barkov,FLA,26,F
25,25,Sweden,Mika,Zibanejad,NYR,28,F
26,26,Sweden,Elias,Lindholm,CGY,27,F
27,27,Finland,Sebastian,Aho,CAR,24,F
28,28,Norway,Mats,Zuccarello,MIN,34,F
29,29,USA,Jake,Guentzel,PIT,27,F
30,30,USA,Joe,Pavelski,DAL,37,F
31,31,Sweden,Filip,Forsberg,NSH,27,F
32,32,Switzerland,Timo,Meier,SJS,25,F
33,33,Sweden,Victor,Hedman,TBL,31,D
34,34,USA,Adam,Fox,NYR,23,D
35,35,USA,Chris,Kreider,NYR,30,F
36,36,USA,Alex,DeBrincat,CHI,24,F
37,37,Canada,Mark,Scheifele,WPG,28,F
38,38,Canada,Sam,Reinhart,FLA,26,F
39,39,Canada,John,Tavares,TOR,31,F
40,40,Sweden,Jesper,Bratt,NJD,23,F
41,41,Russia,Evgeny,Kuznetsov,WSH,29,F
42,42,Sweden,William,Nylander,TOR,25,F
43,43,USA,Jason,Robertson,DAL,22,F
44,44,USA,Dylan,Larkin,DET,25,F
45,45,USA,Clayton,Keller,ARI,23,F
46,46,Canada,Jordan,Kyrou,STL,23,F
47,47,Switzerland,Kevin,Fiala,MIN,25,F
48,48,Russia,Andrei,Svechnikov,CAR,21,F
49,49,Canada,Kristopher,Letang,PIT,34,D
50,50,Sweden,Gabriel,Landeskog,COL,29,F
